id,question,answer
nq_1065,who declared war on the united states four days after pearl harbor?,Italy
nq_1066,when did red bull come to the united states?,1997
nq_1066,when did red bull come to the united states?,1998
nq_1067,when was the last time the crows were in the grand final?,2017
nq_1067,when was the last time the crows were in the grand final?,2022
nq_1077,who 's the original singer of help me make it through the night?,Kris Kristofferson
nq_1077,who 's the original singer of help me make it through the night?,Sammi Smith
nq_1080,when did russia join the world economic forum?,Early 1990s — Russia (as the Russian Federation) began participating in WEF Annual Meetings
nq_1080,when did russia join the world economic forum?,Not applicable — countries do not formally join the World Economic Forum
nq_1081,where is wind power used most in the united states?,Iowa
nq_1081,where is wind power used most in the united states?,Texas
nq_1083,who played john connor in the original terminator?,Edward Furlong
nq_1083,who played john connor in the original terminator?,"No actor (character not in The Terminator, 1984)"
nq_1085,where is the oldest house in america located?,"Acoma Pueblo (Sky City), near Grants, New Mexico"
nq_1085,where is the oldest house in america located?,"Fairbanks House, Dedham, Massachusetts"
nq_1085,where is the oldest house in america located?,"González–Álvarez House, St. Augustine, Florida"
nq_1085,where is the oldest house in america located?,"Oldest House (De Vargas Street), Santa Fe, New Mexico"
nq_1085,where is the oldest house in america located?,"Taos Pueblo, Taos, New Mexico"
nq_1086,who was the walker rick killed in the first episode?,Bicycle Girl (Hannah)
nq_1086,who was the walker rick killed in the first episode?,Summer (the little girl walker at the gas station)
nq_1088,who plays the beast on the new beauty and the beast?,Dan Stevens
nq_1088,who plays the beast on the new beauty and the beast?,Jay Ryan
nq_1088,who plays the beast on the new beauty and the beast?,Josh Groban
nq_1088,who plays the beast on the new beauty and the beast?,Vincent Cassel
nq_1095,who are the australia 's got talent judges?,"Dannii Minogue, Kyle Sandilands, Brian McFadden (2010–2012)"
nq_1095,who are the australia 's got talent judges?,"Dannii Minogue, Tom Burlinson, Red Symons (2007–2009)"
nq_1095,who are the australia 's got talent judges?,"Dawn French, Geri Halliwell, Timomatic, Kyle Sandilands (2013)"
nq_1095,who are the australia 's got talent judges?,"Kelly Osbourne, Ian “Dicko” Dickson, Eddie Perfect, Sophie Monk (2016)"
nq_1095,who are the australia 's got talent judges?,"Nicole Scherzinger, Shane Jacobson, Lucy Durack, Manu Feildel (2019)"
nq_1095,who are the australia 's got talent judges?,"Shane Jacobson, Kate Ritchie, Alesha Dixon, David Walliams (2022)"
nq_110,which site of an enzyme is called allosteric site?,A site distinct from the active (catalytic) site where an allosteric effector binds
nq_110,which site of an enzyme is called allosteric site?,Regulatory site
nq_1102,when did sweet caroline start at red sox games?,1997
nq_1102,when did sweet caroline start at red sox games?,2002
nq_1110,who is the longest serving member of the house in history?,Charles Pelham Villiers
nq_1110,who is the longest serving member of the house in history?,John Dingell
nq_1120,who wrote the song going to kansas city?,Jerry Leiber and Mike Stoller
nq_1120,who wrote the song going to kansas city?,Jim Jackson
nq_1125,who does the civil rights act of 1964 protect?,"All persons in the U.S. in covered settings (employment, public accommodations, education, federally funded programs, and voting)"
nq_1125,who does the civil rights act of 1964 protect?,"Individuals protected from discrimination based on race, color, religion, sex, or national origin"
nq_1127,when did end of the road come out?,1956 (Jerry Lee Lewis song)
nq_1127,when did end of the road come out?,1970 (American film)
nq_1127,when did end of the road come out?,1992 (Boyz II Men song)
nq_1127,when did end of the road come out?,2022 (Netflix film starring Queen Latifah)
nq_1128,who are the judges on do you think you can dance?,"Allison Holker, Maksim Chmerkovskiy, JoJo Siwa"
nq_1128,who are the judges on do you think you can dance?,"Nigel Lythgoe, Mary Murphy"
nq_1128,who are the judges on do you think you can dance?,"Nigel Lythgoe, Mary Murphy, Adam Shankman"
nq_1128,who are the judges on do you think you can dance?,"Nigel Lythgoe, Mary Murphy, Vanessa Hudgens"
nq_1128,who are the judges on do you think you can dance?,"Nigel Lythgoe, Paula Abdul, Jason Derulo"
nq_1128,who are the judges on do you think you can dance?,"Stephen 'tWitch' Boss, JoJo Siwa, Leah Remini"
nq_1130,who sang the songs on walk the line?,Joaquin Phoenix and Reese Witherspoon
nq_1130,who sang the songs on walk the line?,Johnny Cash
nq_1132,who played the beast in the movie beauty and the beast?,Dan Stevens
nq_1132,who played the beast in the movie beauty and the beast?,Jean Marais
nq_1132,who played the beast in the movie beauty and the beast?,Robby Benson
nq_1132,who played the beast in the movie beauty and the beast?,Vincent Cassel
nq_1135,when did day light savings start in the us?,"April 30, 1967 (start of modern standardized DST under the Uniform Time Act)"
nq_1135,when did day light savings start in the us?,"February 9, 1942 (start of year-round “War Time” DST during WWII)"
nq_1135,when did day light savings start in the us?,"March 31, 1918 (first nationwide DST under the Standard Time Act)"
nq_1157,number of degree of freedom for plane mechanism?,3
nq_1157,number of degree of freedom for plane mechanism?,F = 3(n - 1) - 2j1 - j2
nq_1160,when did the passion of the christ come out?,2004
nq_1160,when did the passion of the christ come out?,"February 25, 2004"
nq_1162,how many players in football hall of fame?,"~1,090–1,100 players in the College Football Hall of Fame (as of around 2024)"
nq_1162,how many players in football hall of fame?,"~330–350 players in the Pro Football Hall of Fame (Canton/NFL, as of around 2024)"
nq_117,who warned europe to stay out of the americas?,James Monroe
nq_117,who warned europe to stay out of the americas?,John Quincy Adams
nq_1176,5 cities with the highest population in europe?,"Istanbul, Moscow, London, Saint Petersburg, Berlin"
nq_1176,5 cities with the highest population in europe?,"Moscow, Istanbul, Paris, London, Madrid"
nq_1176,5 cities with the highest population in europe?,"Moscow, London, Saint Petersburg, Berlin, Madrid"
nq_118,when did the name of bombay change to mumbai?,1995
nq_118,when did the name of bombay change to mumbai?,1996
nq_1180,who played ben stone son on law and order?,Philip Winchester
nq_1181,who sang the them song for as told by ginger?,Macy Gray
nq_1181,who sang the them song for as told by ginger?,Melissa Disney
nq_1182,where is dia de los muertos celebrated in mexico?,Mixquic (Mexico City)
nq_1182,where is dia de los muertos celebrated in mexico?,Oaxaca (Oaxaca City)
nq_1182,where is dia de los muertos celebrated in mexico?,Pátzcuaro and Janitzio (Michoacán)
nq_1182,where is dia de los muertos celebrated in mexico?,Throughout Mexico
nq_1183,how many farmers are there in the usa?,about 0.85 million (BLS occupational count)
nq_1183,how many farmers are there in the usa?,"about 1.90 million (number of farms/principal operators, 2022)"
nq_1183,how many farmers are there in the usa?,about 3.37 million (USDA 2022 farm producers)
nq_1188,who is the captain of richmond football club?,Katie Brennan
nq_1188,who is the captain of richmond football club?,Toby Nankervis
nq_119,where does the formation of atp take place?,bacterial plasma membrane
nq_119,where does the formation of atp take place?,chloroplast thylakoid membrane (photophosphorylation)
nq_119,where does the formation of atp take place?,cytosol (glycolysis)
nq_119,where does the formation of atp take place?,inner mitochondrial membrane/matrix side (oxidative phosphorylation)
nq_1190,who wrote i want to dance with somebody by whitney houston?,George Merrill
nq_1190,who wrote i want to dance with somebody by whitney houston?,Shannon Rubicam
nq_1194,who won la liga in the last 10 years?,Champions for each of the last 10 calendar years
nq_1194,who won la liga in the last 10 years?,Ten most recent completed La Liga seasons’ champions (one winner per season)
nq_1194,who won la liga in the last 10 years?,The unique set of clubs that have won La Liga at least once in the last 10 years
nq_1199,what is the population of keystone heights florida?,"1,446"
nq_1199,what is the population of keystone heights florida?,"15,000"
nq_1207,who plays big momma in big mommas house?,Ella Mitchell
nq_1207,who plays big momma in big mommas house?,Martin Lawrence
nq_121,who wrote song what a friend we have in jesus?,Charles C. Converse
nq_121,who wrote song what a friend we have in jesus?,Joseph M. Scriven
nq_1218,under the federal unemployment tax act which party pays unemployment taxes?,Employer
nq_122,who dies in season 6 of once upon a time?,Count of Monte Cristo
nq_122,who dies in season 6 of once upon a time?,Dr. Jekyll
nq_122,who dies in season 6 of once upon a time?,Emma Swan
nq_122,who dies in season 6 of once upon a time?,Mr. Hyde
nq_122,who dies in season 6 of once upon a time?,The Black Fairy (Fiona)
nq_122,who dies in season 6 of once upon a time?,The Dragon
nq_122,who dies in season 6 of once upon a time?,The Oracle
nq_1226,when did the united states host the world cup?,1994
nq_1226,when did the united states host the world cup?,1999
nq_1226,when did the united states host the world cup?,2003
nq_1232,who is the first indian who got oscar for lifetime achievement?,Satyajit Ray
nq_1237,who played gareth in four weddings and a funeral?,Simon Callow
nq_1240,who won the 2017 ncaa mens basketball tournament?,Babson Beavers
nq_1240,who won the 2017 ncaa mens basketball tournament?,North Carolina Tar Heels
nq_1240,who won the 2017 ncaa mens basketball tournament?,Northwest Missouri State Bearcats
nq_1242,how many plane surfaces does a cylinder have?,0
nq_1242,how many plane surfaces does a cylinder have?,2
nq_1244,who played the first phantom of the opera?,Lon Chaney
nq_1244,who played the first phantom of the opera?,Michael Crawford
nq_1249,when did michael jordan get his last ring?,1997-98 NBA season
nq_1249,when did michael jordan get his last ring?,1998
nq_1249,when did michael jordan get his last ring?,"June 14, 1998"
nq_1251,when did men 's curling start in the olympics?,1924
nq_1251,when did men 's curling start in the olympics?,1998
nq_1252,which hormone is released from the ruptured follicle or corpus luteum?,Estrogen
nq_1252,which hormone is released from the ruptured follicle or corpus luteum?,Progesterone
nq_1254,what was hawaii 's primary export to the united states?,pineapple
nq_1254,what was hawaii 's primary export to the united states?,sugar
nq_1255,what is katie running from in safe haven?,her abusive husband Kevin Tierney
nq_1255,what is katie running from in safe haven?,her past
nq_1255,what is katie running from in safe haven?,the police/law due to his false accusations
nq_1258,jonny cash one piece at a time car?,A Frankenstein Cadillac assembled from parts spanning many model years (often cited as 1949–1970 in the lyrics)
nq_1258,jonny cash one piece at a time car?,Cadillac
nq_1258,jonny cash one piece at a time car?,The promotional One Piece at a Time car built from mixed Cadillac parts (roughly 1949–1973)
nq_1264,who sang i knew the bride when she used to rock and roll?,Dave Edmunds
nq_1264,who sang i knew the bride when she used to rock and roll?,Nick Lowe
nq_1287,who has the most conference championships in college basketball?,Kansas
nq_1287,who has the most conference championships in college basketball?,Kentucky
nq_1290,the plane of earth 's orbit is called the?,ecliptic
nq_1290,the plane of earth 's orbit is called the?,ecliptic plane
nq_1290,the plane of earth 's orbit is called the?,plane of the ecliptic
nq_1296,when was i can only imagine the song released?,1999 (independent album release)
nq_1296,when was i can only imagine the song released?,2001 (major-label/Christian radio release)
nq_1296,when was i can only imagine the song released?,2003 (mainstream radio release)
nq_1297,when did gaurdians of the galaxy 2 come out?,"April 28, 2017 (UK/international)"
nq_1297,when did gaurdians of the galaxy 2 come out?,"May 5, 2017 (United States)"
nq_130,who is the richest club in the championship?,Leeds United
nq_130,who is the richest club in the championship?,Leicester City
nq_130,who is the richest club in the championship?,Stoke City
nq_1300,who plays the robot maid in richie rich?,Brooke Wexler
nq_1300,who plays the robot maid in richie rich?,Joan Gerber
nq_1303,where does a roadrunner live in the desert?,Along desert washes and arroyos with denser cover
nq_1303,where does a roadrunner live in the desert?,"Nests/roosts in low shrubs, small trees, or cacti (e.g., cholla, yucca)"
nq_1303,where does a roadrunner live in the desert?,Open desert scrub and arid grasslands with scattered shrubs and cactus
nq_1303,where does a roadrunner live in the desert?,"Southwestern U.S. and northern Mexico deserts (Sonoran, Chihuahuan, Mojave)"
nq_1306,when did first fast and furious come out?,1954 (release year of the earlier film The Fast and the Furious)
nq_1306,when did first fast and furious come out?,"June 22, 2001 (US theatrical release of The Fast and the Furious, 2001)"
nq_131,total number of mna in pakistan national assembly?,336
nq_131,total number of mna in pakistan national assembly?,342
nq_1311,in the honour of which god is anant chaturdashi celebrated?,Lord Ganesha
nq_1311,in the honour of which god is anant chaturdashi celebrated?,Lord Vishnu
nq_1316,what is australia 's location in the world and region?,Oceania in the Southern Hemisphere between the Indian and Pacific Oceans (southeast of Asia)
nq_1316,what is australia 's location in the world and region?,"UN M49 classification: Region = Oceania, Subregion = Australia and New Zealand (Australasia)"
nq_1317,who does luke skywalker fall in love with?,Mara Jade
nq_1317,who does luke skywalker fall in love with?,Nakari Kelen
nq_1317,who does luke skywalker fall in love with?,Princess Leia Organa
nq_1318,who was the original host of jokers wild?,Barry Cryer
nq_1318,who was the original host of jokers wild?,Jack Barry
nq_1319,which organelle is the site of atp production and storage?,chloroplast
nq_1319,which organelle is the site of atp production and storage?,mitochondrion
nq_1323,how many episodes are there in ordeal by innocence?,1
nq_1323,how many episodes are there in ordeal by innocence?,3
nq_1324,who played the hobbits in the lord of the rings?,Billy Boyd
nq_1324,who played the hobbits in the lord of the rings?,Dominic Monaghan
nq_1324,who played the hobbits in the lord of the rings?,Elijah Wood
nq_1324,who played the hobbits in the lord of the rings?,Sean Astin
nq_1328,who does the democratic republic of congo trade with?,Belgium
nq_1328,who does the democratic republic of congo trade with?,China
nq_1328,who does the democratic republic of congo trade with?,India
nq_1328,who does the democratic republic of congo trade with?,South Africa
nq_1328,who does the democratic republic of congo trade with?,Tanzania
nq_1328,who does the democratic republic of congo trade with?,United Arab Emirates
nq_1328,who does the democratic republic of congo trade with?,Zambia
nq_1333,who gets first pick of fa cup games?,BBC
nq_1333,who gets first pick of fa cup games?,BT Sport
nq_1333,who gets first pick of fa cup games?,ITV
nq_1337,who said life is like a bowl of cherries?,Erma Bombeck
nq_1337,who said life is like a bowl of cherries?,Ethel Merman
nq_1337,who said life is like a bowl of cherries?,Lew Brown
nq_1337,who said life is like a bowl of cherries?,Rudy Vallee
nq_1338,where is fort myers located at in florida?,Along the Caloosahatchee River near its mouth
nq_1338,where is fort myers located at in florida?,Florida’s Gulf Coast
nq_1338,where is fort myers located at in florida?,"Lee County, Florida"
nq_1338,where is fort myers located at in florida?,Southwest Florida
nq_1340,who became a leader of the indian national congress?,Annie Besant
nq_1340,who became a leader of the indian national congress?,Bal Gangadhar Tilak
nq_1340,who became a leader of the indian national congress?,Jawaharlal Nehru
nq_1340,who became a leader of the indian national congress?,Mahatma Gandhi
nq_1340,who became a leader of the indian national congress?,Subhas Chandra Bose
nq_1343,who cracked the enigma code in world war 2?,Bletchley Park codebreakers (notably Alan Turing and Gordon Welchman)
nq_1343,who cracked the enigma code in world war 2?,"Polish Cipher Bureau (Marian Rejewski, Jerzy Różycki, Henryk Zygalski)"
nq_1347,how many house of representative do we have in nigeria?,1
nq_1347,how many house of representative do we have in nigeria?,360
nq_135,when 's the last time the philadelphia eagles played the new england patriots?,"February 4, 2018 (Super Bowl LII, postseason)"
nq_135,when 's the last time the philadelphia eagles played the new england patriots?,"September 10, 2023 (Week 1, regular season)"
nq_1352,how many times has the saints won the super bowl?,0
nq_1352,how many times has the saints won the super bowl?,1
nq_1355,where is the eagle creek fire located in oregon?,Columbia River Gorge
nq_1355,where is the eagle creek fire located in oregon?,Eagle Creek Trail area in the Columbia River Gorge National Scenic Area
nq_1355,where is the eagle creek fire located in oregon?,Multnomah and Hood River counties
nq_1355,where is the eagle creek fire located in oregon?,Near Cascade Locks in the Columbia River Gorge
nq_1360,who made the most free throws in nba history?,Jerry West
nq_1360,who made the most free throws in nba history?,Karl Malone
nq_1360,who made the most free throws in nba history?,LeBron James
nq_1360,who made the most free throws in nba history?,Wilt Chamberlain
nq_1361,which is the ring finger for male in india?,Left-hand ring finger (fourth finger)
nq_1361,which is the ring finger for male in india?,Right-hand ring finger (fourth finger)
nq_1368,who is the winner of bigg boss kannada season?,Akul Balaji
nq_1368,who is the winner of bigg boss kannada season?,Chandan Shetty
nq_1368,who is the winner of bigg boss kannada season?,Karthik Mahesh
nq_1368,who is the winner of bigg boss kannada season?,Manju Pavagada
nq_1368,who is the winner of bigg boss kannada season?,Pratham
nq_1368,who is the winner of bigg boss kannada season?,Roopesh Shetty
nq_1368,who is the winner of bigg boss kannada season?,Shashi Kumar
nq_1368,who is the winner of bigg boss kannada season?,Shine Shetty
nq_1368,who is the winner of bigg boss kannada season?,Shruti
nq_1368,who is the winner of bigg boss kannada season?,Vijay Raghavendra
nq_137,when was catch me if you can made?,1989
nq_137,when was catch me if you can made?,2002
nq_1370,who plays the dad in the new beauty and the beast?,André Dussollier
nq_1370,who plays the dad in the new beauty and the beast?,Jon Jon Briones
nq_1370,who plays the dad in the new beauty and the beast?,Kevin Kline
nq_1375,when boy meets girl waiting for a star to fall?,1988
nq_1375,when boy meets girl waiting for a star to fall?,1989
nq_1376,trick taking card game name derived from spanish for man?,Hombre
nq_1376,trick taking card game name derived from spanish for man?,L’Hombre
nq_1376,trick taking card game name derived from spanish for man?,Ombre
nq_1377,what percentage of the population is naturally blonde?,1-2%
nq_1377,what percentage of the population is naturally blonde?,2-3%
nq_1377,what percentage of the population is naturally blonde?,about 2%
nq_1378,when was the last time miss texas won miss america?,1975
nq_1378,when was the last time miss texas won miss america?,September 1974
nq_1379,who sang first line of we are the world?,Justin Bieber
nq_1379,who sang first line of we are the world?,Lionel Richie
nq_138,when did toyota first come to the united states?,1957
nq_138,when did toyota first come to the united states?,1958
nq_1382,how much venom can a king cobra produce?,about 400–500 mg (dry venom) per bite
nq_1382,how much venom can a king cobra produce?,roughly 1–2 mL of liquid venom per bite
nq_1382,how much venom can a king cobra produce?,"up to ~1,000 mg (dry venom) in a large bite"
nq_1384,where did you go to drink during prohibition?,blind pig (blind tiger)
nq_1384,where did you go to drink during prohibition?,speakeasy
nq_1386,who won the wwe championship elimination chamber 2018?,Alexa Bliss
nq_1386,who won the wwe championship elimination chamber 2018?,Roman Reigns
nq_1394,who picks the players in the nfl draft?,Each NFL team (the club) makes its own selections
nq_1394,who picks the players in the nfl draft?,"In some clubs, the head coach or owner has final say"
nq_1394,who picks the players in the nfl draft?,The team's general manager and scouting/personnel department
nq_1398,who wrote lyrics for phantom of the opera?,Charles Hart
nq_1398,who wrote lyrics for phantom of the opera?,Richard Stilgoe
nq_1398,who wrote lyrics for phantom of the opera?,Steve Harris
nq_1399,what culture region is germany a part of?,Central Europe
nq_1399,what culture region is germany a part of?,Germanic Europe
nq_1399,what culture region is germany a part of?,Western Europe
nq_1399,what culture region is germany a part of?,Western culture
nq_1401,who pays medical bills in great britain where does the money come from to pay these bills?,Private care is paid by patients or private insurers
nq_1401,who pays medical bills in great britain where does the money come from to pay these bills?,The National Health Service pays for most care
nq_1401,who pays medical bills in great britain where does the money come from to pay these bills?,funding comes from out-of-pocket payments and insurance premiums
nq_1401,who pays medical bills in great britain where does the money come from to pay these bills?,funding comes primarily from general taxation and National Insurance contributions (with some patient charges)
nq_1402,who plays poppy in the beat goes on?,Amanda Leighton
nq_1402,who plays poppy in the beat goes on?,Anna Kendrick
nq_1408,what 's the average lifespan of a basset hound?,10-12 years
nq_1408,what 's the average lifespan of a basset hound?,12-13 years
nq_142,which apostle spoke at the council of jerusalem?,Barnabas
nq_142,which apostle spoke at the council of jerusalem?,James
nq_142,which apostle spoke at the council of jerusalem?,Paul
nq_142,which apostle spoke at the council of jerusalem?,Peter
nq_1421,how many breeds of pigs are there in the uk?,10
nq_1421,how many breeds of pigs are there in the uk?,11
nq_1421,how many breeds of pigs are there in the uk?,14
nq_1422,who sang the theme song to that 70s show?,Cheap Trick
nq_1422,who sang the theme song to that 70s show?,Todd Griffin
nq_1423,when does the last episode of adventure time air?,"September 2, 2021 (HBO Max release of Distant Lands: ""Wizard City"")"
nq_1423,when does the last episode of adventure time air?,"September 3, 2018 (US airing of the series finale ""Come Along With Me"")"
nq_1432,who sang let me tell you about the birds and the bees?,Alma Cogan
nq_1432,who sang let me tell you about the birds and the bees?,Jewel Akens
nq_1433,who carried the us flag in the 2014 olympics?,Julie Chu
nq_1433,who carried the us flag in the 2014 olympics?,Todd Lodwick
nq_1434,who has more super bowl wins nfc or afc?,NFC
nq_1434,who has more super bowl wins nfc or afc?,Tied
nq_1435,when was the first time the internet was used?,"Jan 1, 1983 — TCP/IP flag day, widely marked as the birth of the modern Internet"
nq_1435,when was the first time the internet was used?,Nov 1977 — first inter-network transmission across ARPANET/PRNET/SATNET
nq_1435,when was the first time the internet was used?,"Oct 29, 1969 — first ARPANET message"
nq_1438,when did the celebrities enter the big brother house?,5 January 2012 (UK Celebrity Big Brother 9 launch on Channel 5)
nq_1438,when did the celebrities enter the big brother house?,7 February 2018 (US Celebrity Big Brother 1 premiere)
nq_1438,when did the celebrities enter the big brother house?,9 March 2001 (UK Celebrity Big Brother 1 launch)
nq_145,when was the first australian prime minister elected?,1 January 1901
nq_145,when was the first australian prime minister elected?,29-30 March 1901
nq_1456,when was the last time it snowed in england on christmas day?,2010
nq_1456,when was the last time it snowed in england on christmas day?,2020
nq_1459,when was harry potter and the philosopher 's stone made?,1997
nq_1459,when was harry potter and the philosopher 's stone made?,2001
nq_1461,a town in west yorkshire on the river aire home to a rugby league team?,Castleford
nq_1461,a town in west yorkshire on the river aire home to a rugby league team?,Keighley
nq_1462,who sings only love can break your heart?,Neil Young
nq_1462,who sings only love can break your heart?,Saint Etienne
nq_1469,author of the hymn great is thy faithfulness?,Thomas O. Chisholm
nq_1469,author of the hymn great is thy faithfulness?,William M. Runyan
nq_1470,what type of rock dominates the earth 's surface?,Basalt
nq_1470,what type of rock dominates the earth 's surface?,Sedimentary rock
nq_1471,when is season 8 for game of thrones?,2019 (the final season aired in 2019)
nq_1471,when is season 8 for game of thrones?,"April 14, 2019 (US premiere on HBO)"
nq_1471,when is season 8 for game of thrones?,"April 14–May 19, 2019 (full broadcast run)"
nq_1473,what act did parliament pass after the boston tea party?,Boston Port Act
nq_1473,what act did parliament pass after the boston tea party?,Coercive Acts (Intolerable Acts)
nq_1479,who said i will not go quietly into the night?,Dylan Thomas (often misquoted from “Do not go gentle into that good night”)
nq_1479,who said i will not go quietly into the night?,President Thomas J. Whitmore (Bill Pullman) in Independence Day
nq_148,who has won india 's next super star?,Aman Gandotra
nq_148,who has won india 's next super star?,Natasha Bharadwaj
nq_1481,what is the zebras name in peppa pig?,Mr. Zebra (the postman)
nq_1481,what is the zebras name in peppa pig?,Zaza Zebra
nq_1481,what is the zebras name in peppa pig?,Zoe Zebra
nq_1481,what is the zebras name in peppa pig?,Zuzu Zebra
nq_1485,all the gases in the earth 's atmosphere?,Nitrogen and oxygen
nq_1485,all the gases in the earth 's atmosphere?,"Nitrogen, oxygen, argon, and carbon dioxide"
nq_1485,all the gases in the earth 's atmosphere?,"Nitrogen, oxygen, argon, carbon dioxide, and water vapor"
nq_1485,all the gases in the earth 's atmosphere?,"Nitrogen, oxygen, argon, carbon dioxide, plus trace gases such as neon, helium, methane, krypton, hydrogen, xenon, ozone, nitrous oxide, and variable water vapor"
nq_1490,when does planet of the apes come out 2017?,"July 10, 2017 (world premiere)"
nq_1490,when does planet of the apes come out 2017?,"July 11, 2017 (United Kingdom release)"
nq_1490,when does planet of the apes come out 2017?,"July 14, 2017 (United States theatrical release)"
nq_1495,distance from one side of a bridge to the other crossword?,breadth
nq_1495,distance from one side of a bridge to the other crossword?,length
nq_1495,distance from one side of a bridge to the other crossword?,span
nq_1495,distance from one side of a bridge to the other crossword?,width
nq_1497,when do they put the rockefeller tree up?,early to mid-November (installation/raising)
nq_1497,when do they put the rockefeller tree up?,the Wednesday after Thanksgiving (lighting ceremony)
nq_1502,when was the original stephen king it movie made?,1990
nq_1502,when was the original stephen king it movie made?,2017
nq_1504,what stations in seattle are owned by sinclair?,KOMO-TV
nq_1504,what stations in seattle are owned by sinclair?,KUNS-TV
nq_1508,who was the greatest pool player of all time?,Earl Strickland
nq_1508,who was the greatest pool player of all time?,Efren Reyes
nq_1508,who was the greatest pool player of all time?,Mike Sigel
nq_1508,who was the greatest pool player of all time?,Ralph Greenleaf
nq_1508,who was the greatest pool player of all time?,Willie Mosconi
nq_1511,who were the the continent of the americas named after logically?,Amerigo Vespucci
nq_1511,who were the the continent of the americas named after logically?,Richard Amerike
